"genus_species","size_class","year","shark_in_video","sec_investigating_circling","sec_passing","sec_feeding","sec_total","frac_investigating_circling","frac_passing","frac_feeding","bout","bite","habitat","depth","log_depth","total_time_shark_present_frame","log_total_time_shark_present_frame","n_frame_total","log_n_frame_total","video"
"Lethrinus rubrioperculatus","Small","2004","absent",0,1,0,1,0,1,0,0,0,"reef",15,2.70805020110221,0,-Inf,3,1.09861228866811,"ASH2_2"
"Lethrinus rubrioperculatus","Small","2004","absent",0,0.6,0,0.6,0,1,0,0,0,"reef",15,2.70805020110221,0,-Inf,3,1.09861228866811,"ASH2_2"
"Lutjanus decussatus","Small","2004","absent",0,0.4,0,0.4,0,1,0,0,0,"reef",15,2.70805020110221,0,-Inf,3,1.09861228866811,"ASH2_2"
"Lethrinus rubrioperculatus","Small","2004","absent",2.8,7,1.6,11.4,0.245614035087719,0.614035087719298,0.140350877192982,1,4,"reef",15,2.70805020110221,0,-Inf,3,1.09861228866811,"ASH2_2"
"Lethrinus rubrioperculatus","Small","2004","absent",12.6,5,1.2,18.8,0.670212765957447,0.265957446808511,0.0638297872340425,1,3,"reef",15,2.70805020110221,0,-Inf,3,1.09861228866811,"ASH2_2"
"Lethrinus rubrioperculatus","Small","2004","absent",2.2,1.4,0,3.6,0.611111111111111,0.388888888888889,0,0,0,"reef",15,2.70805020110221,0,-Inf,3,1.09861228866811,"ASH2_2"
"Lutjanus decussatus","Small","2004","absent",0,1.2,0,1.2,0,1,0,0,0,"reef",15,2.70805020110221,0,-Inf,3,1.09861228866811,"ASH2_2"
"Lethrinus rubrioperculatus","Small","2004","absent",3.2,5,0,8.2,0.390243902439024,0.609756097560976,0,0,0,"reef",15,2.70805020110221,0,-Inf,2,0.693147180559945,"ASH2_2"
"Lethrinus rubrioperculatus","Small","2004","absent",0,6.2,0,6.2,0,1,0,0,0,"reef",15,2.70805020110221,0,-Inf,3,1.09861228866811,"ASH2_2"
"Lethrinus rubrioperculatus","Small","2004","absent",38,1.6,2,41.6,0.913461538461538,0.0384615384615385,0.0480769230769231,3,3,"reef",15,2.70805020110221,0,-Inf,6,1.79175946922805,"ASH2_2"
"Lethrinus rubrioperculatus","Small","2004","absent",31.8,1.6,8.6,42,0.757142857142857,0.0380952380952381,0.204761904761905,5,18,"reef",15,2.70805020110221,0,-Inf,6,1.79175946922805,"ASH2_2"
"Lethrinus rubrioperculatus","Small","2004","absent",0,8.2,1,9.2,0,0.891304347826087,0.108695652173913,1,2,"reef",15,2.70805020110221,0,-Inf,6,1.79175946922805,"ASH2_2"
"Lethrinus rubrioperculatus","Small","2004","absent",7.6,0,0,7.6,1,0,0,0,0,"reef",15,2.70805020110221,0,-Inf,6,1.79175946922805,"ASH2_2"
"Lethrinus rubrioperculatus","Small","2004","absent",9.4,0,0,9.4,1,0,0,0,0,"reef",15,2.70805020110221,0,-Inf,6,1.79175946922805,"ASH2_2"
"Lutjanus decussatus","Small","2004","absent",0,3.6,0,3.6,0,1,0,0,0,"reef",15,2.70805020110221,0,-Inf,6,1.79175946922805,"ASH2_2"
"Lethrinus rubrioperculatus","Small","2004","absent",6.2,4.4,3,13.6,0.455882352941176,0.323529411764706,0.220588235294118,3,10,"reef",15,2.70805020110221,0,-Inf,6,1.79175946922805,"ASH2_2"
"Lethrinus rubrioperculatus","Small","2004","absent",11.2,3,1.4,15.6,0.717948717948718,0.192307692307692,0.0897435897435897,3,5,"reef",15,2.70805020110221,0,-Inf,6,1.79175946922805,"ASH2_2"
"Lutjanus decussatus","Small","2004","absent",15.4,0,0,15.4,1,0,0,0,0,"reef",15,2.70805020110221,0,-Inf,7,1.94591014905531,"ASH2_2"
"Lutjanus decussatus","Small","2004","absent",0,2.4,0,2.4,0,1,0,0,0,"reef",15,2.70805020110221,0,-Inf,7,1.94591014905531,"ASH2_2"
"Lethrinus rubrioperculatus","Small","2004","absent",0,4.8,0,4.8,0,1,0,0,0,"reef",15,2.70805020110221,0,-Inf,2,0.693147180559945,"ASH2_2"
"Lethrinus rubrioperculatus","Small","2004","absent",2,8.8,2.4,13.2,0.151515151515151,0.666666666666667,0.181818181818182,2,4,"reef",15,2.70805020110221,0,-Inf,2,0.693147180559945,"ASH2_2"
"Lethrinus rubrioperculatus","Small","2004","absent",0,2,0,2,0,1,0,0,0,"reef",15,2.70805020110221,0,-Inf,3,1.09861228866811,"ASH2_2"
"Lethrinus rubrioperculatus","Small","2004","absent",0,2.6,0,2.6,0,1,0,0,0,"reef",15,2.70805020110221,0,-Inf,3,1.09861228866811,"ASH2_2"
"Lutjanus decussatus","Small","2004","absent",0,1.2,0,1.2,0,1,0,0,0,"reef",15,2.70805020110221,0,-Inf,3,1.09861228866811,"ASH2_2"
"Lethrinus rubrioperculatus","Small","2004","absent",13.8,11.8,0,25.6,0.5390625,0.4609375,0,0,0,"reef",15,2.70805020110221,0,-Inf,4,1.38629436111989,"ASH2_2"
"Lethrinus rubrioperculatus","Small","2004","absent",40.2,0,0,40.2,1,0,0,1,2,"reef",15,2.70805020110221,0,-Inf,4,1.38629436111989,"ASH2_2"
"Lethrinus rubrioperculatus","Small","2004","absent",0,2,0,2,0,1,0,0,0,"reef",15,2.70805020110221,0,-Inf,4,1.38629436111989,"ASH2_2"
"Lutjanus decussatus","Small","2004","absent",0,3,0,3,0,1,0,0,0,"reef",15,2.70805020110221,0,-Inf,4,1.38629436111989,"ASH2_2"
"Lethrinus rubrioperculatus","Small","2004","absent",0,3.6,0,3.6,0,1,0,0,0,"reef",15,2.70805020110221,0,-Inf,2,0.693147180559945,"ASH2_2"
"Lethrinus rubrioperculatus","Small","2004","absent",2.6,7.2,0,9.8,0.26530612244898,0.73469387755102,0,1,1,"reef",15,2.70805020110221,0,-Inf,3,1.09861228866811,"ASH2_2"
"Lethrinus rubrioperculatus","Small","2004","absent",8.2,3.8,0,12,0.683333333333333,0.316666666666667,0,0,0,"reef",15,2.70805020110221,0,-Inf,3,1.09861228866811,"ASH2_2"
"Lethrinus atkinsoni","Small","2004","absent",16.2,7.2,0.2,23.6,0.686440677966102,0.305084745762712,0.00847457627118644,1,1,"reef",15,2.70805020110221,0,-Inf,3,1.09861228866811,"ASH2_2"
"Lethrinus rubrioperculatus","Small","2004","absent",7.8,2.2,1,11,0.709090909090909,0.2,0.0909090909090909,1,4,"reef",15,2.70805020110221,0,-Inf,2,0.693147180559945,"ASH2_2"
"Lethrinus rubrioperculatus","Small","2004","absent",12.2,2.4,0,14.6,0.835616438356164,0.164383561643836,0,0,0,"reef",15,2.70805020110221,0,-Inf,3,1.09861228866811,"ASH2_2"
"Lethrinus rubrioperculatus","Small","2004","absent",2.2,4,0,6.2,0.354838709677419,0.645161290322581,0,0,0,"reef",15,2.70805020110221,0,-Inf,3,1.09861228866811,"ASH2_2"
"Lutjanus decussatus","Small","2004","absent",0,1.8,0,1.8,0,1,0,0,0,"reef",15,2.70805020110221,0,-Inf,3,1.09861228866811,"ASH2_2"
"Lethrinus rubrioperculatus","Small","2004","absent",26.2,2,2.8,31,0.845161290322581,0.0645161290322581,0.0903225806451613,3,12,"reef",15,2.70805020110221,0,-Inf,4,1.38629436111989,"ASH2_2"
"Lutjanus decussatus","Small","2004","absent",2,1.6,0,3.6,0.555555555555556,0.444444444444444,0,0,0,"reef",15,2.70805020110221,0,-Inf,3,1.09861228866811,"ASH2_2"
"Lethrinus rubrioperculatus","Small","2004","absent",26.2,1.2,0,27.4,0.956204379562044,0.0437956204379562,0,0,0,"reef",15,2.70805020110221,0,-Inf,3,1.09861228866811,"ASH2_2"
"Lethrinus rubrioperculatus","Small","2004","absent",0,9.4,0.6,10,0,0.94,0.06,1,2,"reef",15,2.70805020110221,0,-Inf,3,1.09861228866811,"ASH2_2"
"Lethrinus rubrioperculatus","Small","2004","absent",0,4,0,4,0,1,0,0,0,"reef",15,2.70805020110221,0,-Inf,3,1.09861228866811,"ASH2_2"
"Lethrinus rubrioperculatus","Small","2004","absent",16.8,2.2,0.6,19.6,0.857142857142857,0.112244897959184,0.0306122448979592,1,2,"reef",15,2.70805020110221,0,-Inf,5,1.6094379124341,"ASH2_2"
"Lethrinus rubrioperculatus","Small","2004","absent",1.2,4.6,0.6,6.4,0.1875,0.71875,0.09375,1,1,"reef",15,2.70805020110221,0,-Inf,5,1.6094379124341,"ASH2_2"
"Lutjanus decussatus","Small","2004","absent",0,2.4,0,2.4,0,1,0,0,0,"reef",15,2.70805020110221,0,-Inf,5,1.6094379124341,"ASH2_2"
"Lethrinus rubrioperculatus","Small","2004","absent",0,2.8,0,2.8,0,1,0,0,0,"reef",15,2.70805020110221,0,-Inf,5,1.6094379124341,"ASH2_2"
"Lethrinus rubrioperculatus","Small","2004","absent",0,7.8,0,7.8,0,1,0,0,0,"reef",15,2.70805020110221,0,-Inf,5,1.6094379124341,"ASH2_2"
"Lutjanus decussatus","Small","2004","absent",0,8,0,8,0,1,0,0,0,"reef",15,2.70805020110221,0,-Inf,5,1.6094379124341,"ASH2_2"
"Lethrinus rubrioperculatus","Small","2004","absent",0,1.8,0,1.8,0,1,0,0,0,"reef",15,2.70805020110221,0,-Inf,4,1.38629436111989,"ASH2_2"
"Lethrinus rubrioperculatus","Small","2004","absent",1.2,2,0.8,4,0.3,0.5,0.2,1,3,"reef",15,2.70805020110221,0,-Inf,4,1.38629436111989,"ASH2_2"
"Lethrinus olivaceus","Medium","2004","absent",0,8.4,0,8.4,0,1,0,0,0,"reef",13,2.56494935746154,0,-Inf,1,0,"ASH2_3"
"Aprion virescens","Large","2004","absent",0,9.4,0,9.4,0,1,0,0,0,"reef",13,2.56494935746154,0,-Inf,2,0.693147180559945,"ASH2_3"
"Lethrinus rubrioperculatus","Small","2004","absent",3.4,5.6,0,9,0.377777777777778,0.622222222222222,0,0,0,"reef",13,2.56494935746154,0,-Inf,2,0.693147180559945,"ASH2_3"
"Lethrinus rubrioperculatus","Small","2004","absent",0,5.8,0,5.8,0,1,0,0,0,"reef",13,2.56494935746154,0,-Inf,1,0,"ASH2_3"
"Lethrinus rubrioperculatus","Small","2004","absent",0,6.8,0,6.8,0,1,0,0,0,"reef",13,2.56494935746154,0,-Inf,1,0,"ASH2_3"
"Lethrinus rubrioperculatus","Small","2004","absent",0,2.8,0,2.8,0,1,0,0,0,"reef",13,2.56494935746154,0,-Inf,1,0,"ASH2_3"
"Lethrinus olivaceus","Medium","2004","absent",0,15.6,0,15.6,0,1,0,0,0,"reef",13,2.56494935746154,0,-Inf,1,0,"ASH2_3"
"Lethrinus rubrioperculatus","Small","2004","absent",6.4,9.4,0,15.8,0.40506329113924,0.59493670886076,0,0,0,"reef",13,2.56494935746154,0,-Inf,1,0,"ASH2_3"
"Lethrinus rubrioperculatus","Small","2004","absent",0,7.4,0,7.4,0,1,0,0,0,"reef",13,2.56494935746154,0,-Inf,1,0,"ASH2_3"
"Lethrinus rubrioperculatus","Small","2004","absent",0,15.8,0,15.8,0,1,0,0,0,"reef",13,2.56494935746154,0,-Inf,1,0,"ASH2_3"
"Lethrinus rubrioperculatus","Small","2004","absent",6,3.6,0,9.6,0.625,0.375,0,0,0,"reef",13,2.56494935746154,0,-Inf,2,0.693147180559945,"ASH2_3"
"Lethrinus rubrioperculatus","Small","2004","absent",0,4.8,0,4.8,0,1,0,0,0,"reef",13,2.56494935746154,0,-Inf,2,0.693147180559945,"ASH2_3"
"Lethrinus rubrioperculatus","Small","2004","absent",0,3.8,0,3.8,0,1,0,0,0,"reef",13,2.56494935746154,0,-Inf,2,0.693147180559945,"ASH2_3"
"Lethrinus rubrioperculatus","Small","2004","absent",0,3,0,3,0,1,0,0,0,"reef",13,2.56494935746154,0,-Inf,2,0.693147180559945,"ASH2_3"
"Lethrinus rubrioperculatus","Small","2004","absent",8.2,1,0,9.2,0.891304347826087,0.108695652173913,0,0,0,"reef",13,2.56494935746154,0,-Inf,2,0.693147180559945,"ASH2_3"
"Lethrinus rubrioperculatus","Small","2004","absent",0,6.8,0,6.8,0,1,0,0,0,"reef",13,2.56494935746154,0,-Inf,2,0.693147180559945,"ASH2_3"
"Lethrinus rubrioperculatus","Small","2004","absent",0,5,0,5,0,1,0,0,0,"reef",18,2.89037175789616,0,-Inf,4,1.38629436111989,"ASH2_4"
"Lethrinus rubrioperculatus","Small","2004","absent",17,0,4.8,21.8,0.779816513761468,0,0.220183486238532,1,7,"reef",18,2.89037175789616,0,-Inf,9,2.19722457733622,"ASH2_4"
