"video","year","depth","habitat","treatment","genus_species","size_class","passing_time_sec","feeding_time_sec","investigating_time_sec","circling_time_sec","bout","bite","total_time_shark_present_frame","n_frame_total"
"ASH2_2","2004",15,"reef","absent","Lethrinus rubrioperculatus","<50",1,0,0,0,0,0,0,3
"ASH2_2","2004",15,"reef","absent","Lethrinus rubrioperculatus","<50",0.6,0,0,0,0,0,0,3
"ASH2_2","2004",15,"reef","absent","Lutjanus decussatus","<50",0.4,0,0,0,0,0,0,3
"ASH2_2","2004",15,"reef","absent","Lethrinus rubrioperculatus","<50",7,1.6,2.8,0,1,4,0,3
"ASH2_2","2004",15,"reef","absent","Lethrinus rubrioperculatus","<50",5,1.2,12.6,0,1,3,0,3
"ASH2_2","2004",15,"reef","absent","Lethrinus rubrioperculatus","<50",1.4,0,2.2,0,0,0,0,3
"ASH2_2","2004",15,"reef","absent","Lutjanus decussatus","<50",1.2,0,0,0,0,0,0,3
"ASH2_2","2004",15,"reef","absent","Lethrinus rubrioperculatus","<50",5,0,3.2,0,0,0,0,2
"ASH2_2","2004",15,"reef","absent","Lethrinus rubrioperculatus","<50",6.2,0,0,0,0,0,0,3
"ASH2_2","2004",15,"reef","absent","Lethrinus rubrioperculatus","<50",1.6,2,38,0,3,3,0,6
"ASH2_2","2004",15,"reef","absent","Lethrinus rubrioperculatus","<50",1.6,8.6,31.8,0,5,18,0,6
"ASH2_2","2004",15,"reef","absent","Lethrinus rubrioperculatus","<50",8.2,1,0,0,1,2,0,6
"ASH2_2","2004",15,"reef","absent","Lethrinus rubrioperculatus","<50",0,0,7.6,0,0,0,0,6
"ASH2_2","2004",15,"reef","absent","Lethrinus rubrioperculatus","<50",0,0,9.4,0,0,0,0,6
"ASH2_2","2004",15,"reef","absent","Lutjanus decussatus","<50",3.6,0,0,0,0,0,0,6
"ASH2_2","2004",15,"reef","absent","Lethrinus rubrioperculatus","<50",4.4,3,6.2,0,3,10,0,6
"ASH2_2","2004",15,"reef","absent","Lethrinus rubrioperculatus","<50",3,1.4,11.2,0,3,5,0,6
"ASH2_2","2004",15,"reef","absent","Lutjanus decussatus","<50",0,0,15.4,0,0,0,0,7
"ASH2_2","2004",15,"reef","absent","Lutjanus decussatus","<50",2.4,0,0,0,0,0,0,7
"ASH2_2","2004",15,"reef","absent","Lethrinus rubrioperculatus","<50",4.8,0,0,0,0,0,0,2
"ASH2_2","2004",15,"reef","absent","Lethrinus rubrioperculatus","<50",8.8,2.4,2,0,2,4,0,2
"ASH2_2","2004",15,"reef","absent","Lethrinus rubrioperculatus","<50",2,0,0,0,0,0,0,3
"ASH2_2","2004",15,"reef","absent","Lethrinus rubrioperculatus","<50",2.6,0,0,0,0,0,0,3
"ASH2_2","2004",15,"reef","absent","Lutjanus decussatus","<50",1.2,0,0,0,0,0,0,3
"ASH2_2","2004",15,"reef","absent","Lethrinus rubrioperculatus","<50",11.8,0,13.8,0,0,0,0,4
"ASH2_2","2004",15,"reef","absent","Lethrinus rubrioperculatus","<50",0,0,40.2,0,1,2,0,4
"ASH2_2","2004",15,"reef","absent","Lethrinus rubrioperculatus","<50",2,0,0,0,0,0,0,4
"ASH2_2","2004",15,"reef","absent","Lutjanus decussatus","<50",3,0,0,0,0,0,0,4
"ASH2_2","2004",15,"reef","absent","Lethrinus rubrioperculatus","<50",3.6,0,0,0,0,0,0,2
"ASH2_2","2004",15,"reef","absent","Lethrinus rubrioperculatus","<50",7.2,0,2.6,0,1,1,0,3
"ASH2_2","2004",15,"reef","absent","Lethrinus rubrioperculatus","<50",3.8,0,8.2,0,0,0,0,3
"ASH2_2","2004",15,"reef","absent","Lethrinus atkinsoni","<50",7.2,0.2,16.2,0,1,1,0,3
"ASH2_2","2004",15,"reef","absent","Lethrinus rubrioperculatus","<50",2.2,1,7.8,0,1,4,0,2
"ASH2_2","2004",15,"reef","absent","Lethrinus rubrioperculatus","<50",2.4,0,12.2,0,0,0,0,3
"ASH2_2","2004",15,"reef","absent","Lethrinus rubrioperculatus","<50",4,0,2.2,0,0,0,0,3
"ASH2_2","2004",15,"reef","absent","Lutjanus decussatus","<50",1.8,0,0,0,0,0,0,3
"ASH2_2","2004",15,"reef","absent","Lethrinus rubrioperculatus","<50",2,2.8,26.2,0,3,12,0,4
"ASH2_2","2004",15,"reef","absent","Lutjanus decussatus","<50",1.6,0,2,0,0,0,0,3
"ASH2_2","2004",15,"reef","absent","Lethrinus rubrioperculatus","<50",1.2,0,26.2,0,0,0,0,3
"ASH2_2","2004",15,"reef","absent","Lethrinus rubrioperculatus","<50",9.4,0.6,0,0,1,2,0,3
"ASH2_2","2004",15,"reef","absent","Lethrinus rubrioperculatus","<50",4,0,0,0,0,0,0,3
"ASH2_2","2004",15,"reef","absent","Lethrinus rubrioperculatus","<50",2.2,0.6,9,7.8,1,2,0,5
"ASH2_2","2004",15,"reef","absent","Lethrinus rubrioperculatus","<50",4.6,0.6,1.2,0,1,1,0,5
"ASH2_2","2004",15,"reef","absent","Lutjanus decussatus","<50",2.4,0,0,0,0,0,0,5
"ASH2_2","2004",15,"reef","absent","Lethrinus rubrioperculatus","<50",2.8,0,0,0,0,0,0,5
"ASH2_2","2004",15,"reef","absent","Lethrinus rubrioperculatus","<50",7.8,0,0,0,0,0,0,5
"ASH2_2","2004",15,"reef","absent","Lutjanus decussatus","<50",8,0,0,0,0,0,0,5
"ASH2_2","2004",15,"reef","absent","Lethrinus rubrioperculatus","<50",1.8,0,0,0,0,0,0,4
"ASH2_2","2004",15,"reef","absent","Lethrinus rubrioperculatus","<50",2,0.8,1.2,0,1,3,0,4
"ASH2_3","2004",13,"reef","absent","Lethrinus olivaceus","50-100",8.4,0,0,0,0,0,0,1
"ASH2_3","2004",13,"reef","absent","Aprion virescens",">100",9.4,0,0,0,0,0,0,2
"ASH2_3","2004",13,"reef","absent","Lethrinus rubrioperculatus","<50",5.6,0,3.4,0,0,0,0,2
"ASH2_3","2004",13,"reef","absent","Lethrinus rubrioperculatus","<50",5.8,0,0,0,0,0,0,1
"ASH2_3","2004",13,"reef","absent","Lethrinus rubrioperculatus","<50",6.8,0,0,0,0,0,0,1
"ASH2_3","2004",13,"reef","absent","Lethrinus rubrioperculatus","<50",2.8,0,0,0,0,0,0,1
"ASH2_3","2004",13,"reef","absent","Lethrinus olivaceus","50-100",15.6,0,0,0,0,0,0,1
"ASH2_3","2004",13,"reef","absent","Lethrinus rubrioperculatus","<50",9.4,0,0,6.4,0,0,0,1
"ASH2_3","2004",13,"reef","absent","Lethrinus rubrioperculatus","<50",7.4,0,0,0,0,0,0,1
"ASH2_3","2004",13,"reef","absent","Lethrinus rubrioperculatus","<50",15.8,0,0,0,0,0,0,1
"ASH2_3","2004",13,"reef","absent","Lethrinus rubrioperculatus","<50",3.6,0,6,0,0,0,0,2
"ASH2_3","2004",13,"reef","absent","Lethrinus rubrioperculatus","<50",4.8,0,0,0,0,0,0,2
"ASH2_3","2004",13,"reef","absent","Lethrinus rubrioperculatus","<50",3.8,0,0,0,0,0,0,2
"ASH2_3","2004",13,"reef","absent","Lethrinus rubrioperculatus","<50",3,0,0,0,0,0,0,2
"ASH2_3","2004",13,"reef","absent","Lethrinus rubrioperculatus","<50",1,0,8.2,0,0,0,0,2
"ASH2_3","2004",13,"reef","absent","Lethrinus rubrioperculatus","<50",6.8,0,0,0,0,0,0,2
"ASH2_4","2004",18,"reef","absent","Lethrinus rubrioperculatus","<50",5,0,0,0,0,0,0,4
"ASH2_4","2004",18,"reef","absent","Lethrinus rubrioperculatus","<50",0,4.8,17,0,1,7,0,9
"ASH2_4","2004",18,"reef","absent","Lethrinus rubrioperculatus","<50",0,0,5.2,0,0,0,0,4
"ASH2_4","2004",18,"reef","absent","Lethrinus rubrioperculatus","<50",4.4,0,2.6,0,0,0,0,4
"ASH2_4","2004",18,"reef","absent","Lethrinus rubrioperculatus","<50",3,7,33.4,0,3,8,0,9
"ASH2_4","2004",18,"reef","absent","Lethrinus rubrioperculatus","<50",4.2,6.4,6.8,0,4,8,0,11
"ASH2_4","2004",18,"reef","absent","Lethrinus rubrioperculatus","<50",6.4,11,29.4,0,5,15,0,11
