"video","year","depth","habitat","treatment","genus_species","size_class","passing_time_sec","feeding_time_sec","investigating_time_sec","circling_time_sec","bout","bite","total_time_shark_present_frame","n_frame_total"
"ASH2_5","2004",18,"reef","before","Lethrinus rubrioperculatus","<50",2,13,17.2,0,4,10,0,12
"ASH2_5","2004",18,"reef","before","Lethrinus rubrioperculatus","<50",2.8,9,18.2,0,5,10,0,12
"ASH2_5","2004",18,"reef","before","Lethrinus rubrioperculatus","<50",11,0.8,1.8,0,1,3,0,12
"ASH2_5","2004",18,"reef","before","Lethrinus rubrioperculatus","<50",0,7,54,0,9,15,0,12
"ASH2_5","2004",18,"reef","before","Lethrinus rubrioperculatus","<50",1.2,0,1.4,0,9,12,0,12
"ASH2_5","2004",18,"reef","before","Lethrinus rubrioperculatus","<50",3.4,1.4,26.4,0,2,2,0,12
"ASH2_5","2004",18,"reef","before","Lethrinus rubrioperculatus","<50",1,3,14.6,0,3,5,0,12
"ASH2_5","2004",18,"reef","before","Lethrinus rubrioperculatus","<50",4.6,2.6,24.9,0,1,2,0,12
"ASH2_5","2004",18,"reef","before","Lethrinus rubrioperculatus","<50",1.8,1.8,15.2,0,4,4,0,12
"ASH2_5","2004",18,"reef","before","Lethrinus rubrioperculatus","<50",1.4,0,20.6,0,0,0,0,12
"ASH2_5","2004",18,"reef","before","Lethrinus rubrioperculatus","<50",4.2,1.4,10,0,2,2,0,12
"ASH2_5","2004",18,"reef","before","Lethrinus rubrioperculatus","<50",3.4,0.8,7.4,0,2,2,0,12
"ASH2_5","2004",18,"reef","before","Lethrinus rubrioperculatus","<50",3.6,0,0,0,0,0,0,12
"ASH2_5","2004",18,"reef","before","Lethrinus rubrioperculatus","<50",5,0,0,0,0,0,0,12
"ASH2_5","2004",18,"reef","before","Lethrinus rubrioperculatus","<50",5,2,5.6,0,1,4,0,12
"ASH2_5","2004",18,"reef","before","Lethrinus rubrioperculatus","<50",5,2,5.6,0,1,3,0,12
